  <entry n=""> 
  	<note type="occurencesNT"></note>
  	<form><orth></orth></form>
 	<gramGrp><pos></pos></gramGrp>
 	<sense></sense>
 	<sense n="1">1. †</sense>
 	<ref osisRef=""></ref>
 	<foreign xml:lang="grc"></foreign>
 </entry>

Order	LX	Strong	OccurencesNT	Source
2290	θεός	G2316	1317	
3234	μή	G3361	1042	
1037	γάρ	G1063	1041	
2398	Ἰησοῦς	G2424	917	
1511	ἐκ	G1537	914	
2010	ἔπω	G2036	902	KJV
2050	ἐστί	G2076	838	KJV
1412	ἑαυτοῦ	G1438	816	
1197	διά	G1223	720	
2935	κύριος	G2962	717	
276	ἄν	G302	716	
2166	ἔχω	G2192	708	
4187	πρός	G4314	700	
1070	γίνομαι	G1096	671	
2417	ἵνα	G2443	663	
209	ἀλλά	G235	638	
2038	ἔρχομαι	G2064	629	
549	ἀπό	G575	616	KJV
4033	ποιέω	G4160	568	
5086	ὑμῖν	G5213	567	KJV
4973	τίς	G5100	566	
4974	τίς	G5101	566	
418	ἄνθρωπος	G444	550	
5420	Χριστός	G5547	529	
1461	εἰ	G1487	507	
1462	εἰ	G1488	507	
5089	ὑμῶν	G5216	503	KJV
3640	οὖν	G3767	499	
3581	ὁράω	G3708	476	
2570	κατά	G2596	473	
3323	μοῦ	G3450	472	KJV
3199	μετά	G3326	469	
5486	ὡς	G5613	435	KJV
165	ἀκούω	G191	428	
4056	πολύς	G4183	416	
1299	δίδωμι	G1325	415	
3835	πατήρ	G3962	413	
2232	ἦν	G2258	404	KJV
2224	ἡμέρα	G2250	389	
5082	ὑμᾶς	G5209	388	KJV
4024	πνεῦμα	G4151	379	
5080	υἱός	G5207	377	
2231	ἡμῶν	G2257	365	KJV
4548	σοῦ	G4675	359	KJV
54	ἀδελφός	G80	343	
1411	ἐάν	G1437	334	
3885	περί	G4012	333	
2202	ἤ	G2228	332	
3029	λόγος	G3056	330	
4997	τοῦτο	G5124	320	KJV
1466	οἶδα	G1492	300	
2953	λαλέω	G2980	296	
3138	μέ	G3165	277	KJV
1067	γῆ	G1093	275	
3645	οὐρανός	G3772	273	
3074	μαθητής	G3101	261	
2956	λαμβάνω	G2983	258	
1539	ἐκεῖνος	G1565	243	
3975	πίστις	G4102	243	
3973	πιστεύω	G4100	241	
4896	ταῦτα	G5023	241	KJV
3146	μέγας	G3173	240	
3635	οὐδείς	G3762	234	
14	ἅγιος	G40|G39	233	
585	ἀποκρίνομαι	G611	232	
3559	ὄνομα	G3686	230	
5083	ὑμεῖς	G5210	228	KJV
3300	μοί	G3427	227	KJV
1071	γινώσκω	G1097	220	
1805	ἐξέρχομαι	G1831	218	
409	ἀνήρ	G435	216	
1109	γυνή	G1135	215	
4910	τέ	G5037	215	
5132	ὑπό	G5259	211	KJV
1384	δύναμαι	G1410	210	
2283	θέλω	G2309	208	
3652	οὕτω(ς)	G3779	208	
4544	σοί	G4671	205	KJV
2374	ἰδού	G2400	200	
3176	μέν	G3303	198	
1499	εἰσέρχομαι	G1525	194	
3424	νόμος	G3551	194	
3717	παρά	G3844	194	
2427	Ἰουδαῖος	G2453	193	
1099	γράφω	G1125	191	
2862	κόσμος	G2889	186	
2505	καθώς	G2531	182	
4444	σέ	G4571	179	KJV
5368	χείρ	G5495	177	
2121	εὑρίσκω	G2147	176	
6	ἄγγελος	G32	175	
3666	ὄχλος	G3793	175	
2045	ἔσομαι	G2071	174	KJV
240	ἁμαρτία	G266	173	
2015	ἔργον	G2041	169	
2228	ἡμῖν	G2254	167	KJV
1365	δόξα	G1391	166	
2222	ἡμᾶς	G2248	164	KJV
2042	ἐσθίω	G2068	163	
906	βασιλεία	G932	162	
1458	ἔθνος	G1484	162	
4045	πόλις	G4172	162	
4992	τότε	G5119	160	
660	ἄρα	G686	158	
661	ἄρα	G687	158	
3845	Παῦλος	G3972	158	
2562	καρδία	G2588	156	
3947	Πέτρος	G4074	156	
217	ἄλλος	G243	155	
